org;max_slope;r2;intercept
DEET_hydrolase_4NP_trimethylacetate;1.635919919;0.998259273;6.220516337
DEET_hydrolase_4NP_butyrate;1.564216866;0.999982243;9.251066105
boiled_control_4NP_trimethylacetate;0.270608988;0.954114573;-6.395738058
boiled_control_4NP_butyrate;0.247969904;0.969062871;-3.776014898
boiled_control_4NP_acetamide;0.189820015;0.996068163;-2.143426483
TNG + butyrate;0.109409622;0.999936148;-2.304600611
TNG + trimethylacetate;0.062238553;0.409356598;-3.110572204
buffer;0.027619515;0.422015481;-2.489807558
DEET_hydrolase_4NP_acetamide;0.002725776;0.861871921;-1.713342771
TNG + acetamide;0.002422912;0.664935065;-1.787965097
