org,max_slope,r2,intercept
p055_rep3_37°C,4.453339505894218,0.9772463137906261,6.5825940362587705
p055_rep3_39°C,4.447528385467829,0.9856440177821455,5.238982985497392
p055_rep1_39°C,4.44437016784479,0.9789803668418263,5.633023270931839
p055_rep1_37°C,4.4249787116393335,0.9701024647570746,7.778400502261935
p055_rep2_37°C,4.424915547286873,0.9783513538723947,7.312458128942979
p055_rep2_39°C,4.224368728223924,0.9870561539151284,5.1760291808781576
p055_rep1_90°C,0.33432891757486355,0.939213113116352,-8.500169030438995
p055_rep2_105°C,0.3024940839346342,0.7604148422859177,-6.290322050030588
p055_rep1_105°C,0.2976304287951546,0.9825644777757456,-6.687078402620845
p055_rep2_51°C,0.25328905336769325,0.8188360311413768,-3.5937095147753357
p055_rep1_51°C,0.23547670597375564,0.9398853218661212,-4.991978785199432
p055_rep1_60°C,0.22044359008809258,0.9953745699412426,-6.1920804271699454
p055_rep3_60°C,0.16757502707842642,0.9985223069093075,-5.468659098436719
p055_rep3_51°C,0.16087960571758467,0.9979709961363906,-5.037772940733491
p055_rep2_60°C,0.15942682561098695,0.9987075979569889,-5.368038284966711
p055_rep1_80°C,0.13213982534793361,0.9690160304667434,-4.630783963044585
p055_rep2_63°C,0.1306870452413358,0.9956188155560268,-4.908938716497666
p055_rep2_80°C,0.126328704921543,0.981498748589096,-5.106601030131583
p055_rep1_63°C,0.12102289931483781,0.9829131197666678,-4.147029242331691
p055_rep3_105°C,0.11969644791316222,0.9606538607128483,-5.138499028124271
p055_rep3_90°C,0.10977964457682057,0.9962765232305022,-4.864955272400817
p055_rep3_80°C,0.10959015151943854,0.9953180563982432,-5.02196079783415
p055_rep2_70°C,0.10921116540467392,0.9997066087166862,-4.9015274324756115
p055_rep2_90°C,0.10649509824886061,0.9916770550366543,-5.0153495956099174
p055_rep1_70°C,0.10093663523231308,0.99908865645948,-4.7894107068577485
p055_rep3_63°C,0.09866271854372506,0.9998158691304869,-5.075418894800115
p055_rep3_70°C,0.09809423937157805,0.9913560498265742,-4.762081597026378
abiotic_control_rep1,0.056784752862233674,0.9993850199600594,-5.230571599227923
abiotic_control_rep2,0.05590045192778289,0.9998297926661915,-5.185030101103707
abiotic_control_rep3,0.053500206534273544,0.999726869238648,-5.2223812881921745
p055_rep2_97°C,0.028044972492582823,0.7551560345267959,-4.768334867919993
p055_rep3_97°C,0.011369583442939256,0.9656268627061326,-4.923319134074571
p055_rep1_97°C,0.007011243123146212,0.84284574164863,-4.921382093932449
tris-HCL_buffer_rep3,0.0037266967951858367,0.2770393951452565,-5.0424892123839
tris-HCL_buffer_rep2,0.0034108750328817475,0.844401544401541,-4.978587942477745
tris-HCL_buffer_rep1,0.002210752336127254,0.8400000000000696,-4.947953231534276
